id_student,code_module,code_presentation,gender,age_band,highest_education,disability,num_of_prev_attempts,studied_credits,final_result,cutoff_dia,imd_band_ord,avg_clicks_por_dia,active_days,unique_activities,click_variance,clicks_2a_metade,ratio_metade,clicks_por_dia_ativo,weighted_score,num_late,dias_antes_prazo_media,score_variance,delta_score,score_por_submissao,target
11391,AAA,2013J,1,2,1,0,0,240,Pass,28,10.0,50.125,8.0,24.0,1682.609375,100.0,0.33112582781456956,44.55555555555556,7.8,0.0,1.0,0.0,0.0,3.9,0
28400,AAA,2013J,0,1,1,0,0,60,Pass,28,3.0,32.526315789473685,19.0,34.0,642.1440443213296,162.0,0.3544857768052516,30.9,7.0,1.0,-3.0,0.0,0.0,3.5,0
30268,AAA,2013J,0,1,0,1,0,60,Withdrawn,11,4.0,23.181818181818183,11.0,22.0,296.6942148760331,62.0,0.31958762886597936,21.25,0.0,0.0,0.0,0.0,0.0,0.0,1
31604,AAA,2013J,0,1,0,0,0,60,Pass,28,6.0,22.454545454545453,22.0,31.0,408.88429752066116,145.0,0.4142857142857143,21.47826086956522,7.2,0.0,2.0,0.0,0.0,3.6,0
32885,AAA,2013J,0,0,2,0,0,60,Pass,28,6.0,23.625,24.0,34.0,488.0677083333333,95.0,0.20084566596194503,22.68,6.9,1.0,-7.0,0.0,0.0,3.45,0
38053,AAA,2013J,1,1,0,0,0,60,Pass,28,9.0,22.71875,32.0,30.0,435.5771484375,159.0,0.27943760984182775,22.03030303030303,7.9,0.0,0.0,0.0,0.0,3.95,0
45462,AAA,2013J,1,0,1,0,0,60,Pass,28,4.0,35.642857142857146,14.0,24.0,928.9438775510205,245.0,0.9607843137254902,33.266666666666666,7.0,1.0,-1.0,0.0,0.0,3.5,0
45642,AAA,2013J,0,0,0,0,0,120,Pass,28,10.0,21.789473684210527,19.0,26.0,358.1662049861496,288.0,2.267716535433071,20.7,7.2,0.0,1.0,0.0,0.0,3.6,0
52130,AAA,2013J,0,0,0,0,0,90,Pass,28,8.0,20.055555555555557,18.0,27.0,657.1635802469137,260.0,2.549019607843137,19.0,7.2,0.0,0.0,0.0,0.0,3.6,0
53025,AAA,2013J,1,2,4,0,0,60,Pass,28,0.0,29.36842105263158,19.0,31.0,497.81163434903044,176.0,0.4595300261096606,27.9,7.1,0.0,10.0,0.0,0.0,3.55,0
57506,AAA,2013J,1,1,2,0,0,60,Pass,28,8.0,21.458333333333332,24.0,26.0,518.4149305555555,195.0,0.6074766355140186,20.6,6.8,0.0,1.0,0.0,0.0,3.4,0
58873,AAA,2013J,0,0,0,0,0,60,Pass,28,3.0,24.894736842105264,19.0,25.0,926.8310249307481,183.0,0.6288659793814433,23.65,7.3,0.0,0.0,0.0,0.0,3.65,0
